,Word,Relative Frequency,POS
0,00,2.8602846133013307,CD
1,000,0.4533206163328614,CD
2,0215,2.601908423466444,CD
3,09,5.340797149043085,CD
4,10,20.80093347948042,CD
5,100,4.770485136849097,CD
6,100s,0.4533206163328614,CD
7,10lbs,0.4982252568330395,CD
8,11,4.524733501500392,CD
9,11494693985281179,0.4533206163328614,CD
10,12,7.270298484007377,CD
11,125,0.9149288905816845,CD
12,12th,0.9592694452888579,CD
13,13,6.482750922258776,CD
14,14,2.5322712820934044,CD
15,15,3.8394377871500596,CD
16,150,3.6987793956572177,CD
17,16,2.655887792366128,CD
18,17,1.6499392683760337,CD
19,18,12.508238438626854,CD
20,18138,0.7921678793460498,CD
21,185497084826453,0.4533206163328614,CD
22,19,0.9125604884155685,CD
23,1st,1.3593703204113563,CD
24,20,1.7013398841598508,CD
25,200,0.670007282598353,CD
26,2011,0.5104503547791231,CD
27,2013,0.5853528591129765,CD
28,2015,0.8885287904711227,CD
29,2016,1.0413229822615928,CD
30,2018,2.407817713128737,CD
31,203,2.601908423466444,CD
32,212,0.5321269032918414,CD
33,217,2.6912839029667457,CD
34,22,3.2031313075291292,CD
35,224,2.942783002604389,CD
36,23,1.3054688353182728,CD
37,24,3.985517854411277,CD
38,244,0.5879222919236988,CD
39,24petwatch,0.4533206163328614,CD
40,25,5.034044368365832,CD
41,250,0.9448988902589119,CD
42,2543,2.6912839029667457,CD
43,2569,0.5152719707704854,CD
44,26,1.7090535489254386,CD
45,27,8.99874218090144,CD
46,27th,0.39866613782615645,CD
47,28,1.7992710610342422,CD
48,29,0.42373115988901183,CD
49,30,3.4610043142251983,CD
50,300,0.2541871917435593,CD
51,31,0.5504254823608881,CD
52,32,0.4533206163328614,CD
53,325,2.1051546829793026,CD
54,347,0.7295468974542392,CD
55,35,0.9972194109626121,CD
56,350,0.5277234681739557,CD
57,36,0.5545062693257736,CD
58,40,1.0800617625734852,CD
59,41,0.6138884922339474,CD
60,45,1.4536554062611833,CD
61,459,0.582525612439736,CD
62,4dx,0.48403620645063106,CD
63,4mo,0.7152728566232399,CD
64,50,3.127341120344518,CD
65,501,0.5389427979721726,CD
66,50lbs,0.5177217696537652,CD
67,51,2.6051353342493706,CD
68,512,0.5768922804503734,CD
69,52,0.4676087565790728,CD
70,535,2.942783002604389,CD
71,54,0.4619636410960238,CD
72,55,0.4215790864179168,CD
73,55lbs,0.5150397596065852,CD
74,58,3.6478990567693335,CD
75,59,0.4533206163328614,CD
76,5pm,1.0077296531213105,CD
77,5th,2.428661253577529,CD
78,60,0.8742279017912377,CD
79,618,1.0674348558177005,CD
80,6417,0.582525612439736,CD
81,65,0.8686746781412039,CD
82,667,0.5152719707704854,CD
83,67lbs,0.49363774677469574,CD
84,70,0.8332494940568508,CD
85,75,0.6249020446068944,CD
86,7626298417270982,0.4533206163328614,CD
87,773,2.6866224293560386,CD
88,78232,0.7921678793460498,CD
89,80,1.0105846970342764,CD
90,808,2.6912839029667457,CD
91,815,1.1874223691933443,CD
92,84295,0.5997320301453014,CD
93,85,0.45735480634889847,CD
94,860,0.7244628358409199,CD
95,89434193,0.3921578158862823,CD
96,90,0.3774144866799529,CD
97,9076,2.942783002604389,CD
98,908,0.7244628358409199,CD
99,917,0.8716944151347847,CD
100,9172,1.0674348558177005,CD
101,95,2.2317871003534804,CD
102,9738,0.7244628358409199,CD
103,a1,0.7285266151628508,NN
104,aal,0.6107890415461921,NN
105,abandoned,2.203278830085982,VBD
106,ability,2.647823096641382,NN
107,able,5.905560577955674,JJ
108,abr,2.668720825411704,NN
109,abra,0.40289680883479817,IN
110,absolute,1.6585033353375198,NN
111,absolutely,2.565588347183276,RB
112,acc,1.4357687445263094,JJ
113,accept,0.8544971347703764,IN
114,accepting,0.6294850369420582,VBG
115,accepts,0.3037657999742768,JJ
116,access,0.41194075750330783,NN
117,accident,0.6601834625534202,NN
118,accidents,1.1685715964847847,NNS
119,acclimate,0.744064653929231,VBP
120,accommodate,0.3749587446715338,JJ
121,according,1.920808594753193,VBG
122,acl,1.9864667670538352,JJ
123,act,0.5534786523464488,NN
