0,"Waffles (aka Ethel) is young, energetic, and playful.  She needs an active family and other hounds to run with (no small pets.)  She is super cute, only about 50 lbs.  We are not sure if she is just a very small greyhound or perhaps mixed with whippet.  She was a stray at the animal shelter, not tattooed, not from the racing industry."
1,"Age:  approximately 10 yrs
Weight:  6 lbs 

Ted is a funny little man. We've had him in the group for nearly 3 years, but we just recently decided to move him to adoptable status. At the shelter, this guy was begging for attention. Shortly after arriving at his foster mom's home, he became grumpy with her. He was also grumpy during his first vet visit, and frankly, the vet wasn't sure if Ted would be adoptable for behavioral reasons.

Here we are, and Ted is still a work in progress. Ted had a bit of a weight problem so he been moved into a new foster home where his foster mom is able to monitor his food intake and give him regular walks.  Ted loves walks, and now he's trim!!

Tedâs foster mom is also working on his grumpiness. And she thinks she's making progress! While as first Ted would grumble when his foster mom tried to love on him, she thinks he is starting to like the attention. He accepts her kisses and will even cuddle in her neck.  He grumbles most when he is snuggled in his bed so his foster mom gives him his space at these times.  Luckily, Ted definitely loves strangers and other dogs. He regularly runs up to everyone he sees with his tail wagging to seek attention and say hi. Then he tries to follow them home!

An ideal home is a quiet and patient one without children that understands that he needs his space at times.  Ted would love to spend his days both lounging around and taking regular walks.

Adoption fee is $200.
If you are interested in adopting, please read our Frequently Asked Questions before completing the adoption application.
The application and general information can also be found at: www.smallchancerescue.com."
2,"Age:  4 yrs old
Weight:  9 lbs
Astro likes to take long walks on the greenbelt with his foster mommy. He enjoys sightseeing and admiring Mother Nature. Astro would do well in a SUPER patient home with just adults. He takes awhile to warm up before he trusts people, and then he's stuck on his people like glue. He would benefit best from a home where he can be allowed to take his time to show his true self and one that will continue to let his confidence grow with positive reinforcement for all the things that he does so well. He gets along with the dog in his foster home and is tolerant of the cats as well. 

Adoption fee is $200.
If you are interested in adopting, please read our Frequently Asked Questions before completing the adoption application.
The application and general information can also be found at: www.smallchancerescue.com."
3,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.I am a sweetheart of a kitty. I love to get attention and will purr as soon as you start petting me. I wasn't real sure of the other cats, but I am kind of getting used to them, so I may not need to be an only kitty. I am still playful. I am looking for a forever home with someone who would like to cuddle and play with me. Is that you? 10/27/18 10:09 PM"
4,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.Look how adorable I am. I am still a little shy around people. I will warm up once I know you. I like to hang with the other cats. We play and have a good time. If you have a little patience and don't have to have a lap kitty immediately, I may be the one for you. Come meet me and see what you think. 10/27/18 10:09 PM"
5,"Please contact Dee (tomdee1@austin.rr.com) for more information about this pet.I'm a most unusual Snowshoe girl - a tortie point with lovely white mitts and boots.I was left at the city pound with my mother, a Siamese cat. The person who left us there didn't bother to fill out the papers that tell about us so foster mom had to figure us out. I am about 7 years old now. All I want and need is a warm lap and someone who loves me. I will make you very happy!
10/27/18 10:09 PM"
6,Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.I was brought with my buddies to the shelter after our owner was evicted from our home. I am ready to go to my own new home. I am just the sweetest thing. I like to come out and talk to you and then my little motor starts running as soon as you touch me. Come see how cute I am. 10/27/18 10:09 PM
7,"Please contact Dee (tomdee1@austin.rr.com) for more information about this pet.Little John is part of a Siamese litter, but he is definately a Tabby all the way. He has beautiful patterns. He is all boy and wants to check everything out. Little John has the biggest eyes and loves to talk to you about your day. He is ready to move into your home. 10/27/18 10:09 PM"
8,"Please contact Michele (bygolley1@aol.com) for more information about this pet.Oh, brother! Mom got frustrated taking pictures of me because I was always sticking my tongue out. Well, when she took me to the doctor for a senior physical, she learned that I have a cleft lip. My doctor is a published feline veterinarian, and he hadn't seen that before, so his assistant took a photo and who knows, I might end up in a book someday! I'll be glad to autograph it for you if/when that happens. He also said he didn't think I was all that old, but just 'rode hard and put up wet.' So you see, I need someone who is going to give me a nice home where a laid-back, quiet kitty can get her chance to live in the lap of luxury.
I adore humans and love to be petted, but I'm not nuts about cats. I might prefer to be an only, but I may not need to be. What I can tell you is that I sure don't need as many cats as there are in my foster home or in my RV. I don't really like to be picked up, but that's no big deal, now is it?
Foster mom will try to get a better photo, but you can see I'm pretty cute, can't you? And maybe I even tug at your heartstrings? Are you interested in making me happy by petting me and sitting on the couch with me? Please? Email foster mom to arrange a meeting when I return to Texas from my travels to the west coast.
(Last update: 5/31/2011) 10/27/18 10:09 PM"
9,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.I am a very quiet boy. I am a little shy, but once I get to know you, I won't let you out of my sight. You can see from one of my pictures, how much I like to be petted and will continue to ask for more once you start. I am very low key and don't like a lot of activity going on around me. I am good with other cats as long as they are not aggressive towards me. If you think you might have the right home for me, then let me know. 10/27/18 10:09 PM"
10,"This sweet flame boy has really paid his dues, raised by a hoarder, he didn't get a lot of attention, but he's ready for it now. In fact, we hope that whoever adopts Flint and his friends will give them double love to make up for all the days that they had to live in such crowded conditions. Flint is a very sweet and social boy. 10/27/18 10:09 PM"
11,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.Sweet and very , very happy to be out of a very bad shelter. She would like a quiet gentle home where she can purr for you and be your friend. She craves attention and will give lots of love back, but wants to come to you first. 10/27/18 10:09 PM"
12,"//
This wonderful, healthy sweet female was an owner surrender from North Texas. The previous owner could not longer care for her. She would sure like a nice home to spend her senior years -- she's a no fuss wonderful kitty. 10/27/18 10:09 PM"
13,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.My name is Blanca and I am FIV+. Please know, that FIV is not a death sentence, it just means my immune system may not be as strong as a non-positive cat. I can live a very long and happy life if I am in a safe and happy home. I was running around loose outside until a very nice lady trapped me and got me fixed and took me in. She could not keep me, so I became a part of Austin Siamese Rescue. I am a bundle of energy and just crave attention. I would be great in a home with an existing FIV+ kitty or a one cat household. Please consider me....I will give you many years of kisses. 10/27/18 10:09 PM"
14,"Who says all black kittens look alike? Look at my adorable white toe! You will always know it's me, even in a room full of black kitties. Some people say that black kittens are the sweetest ones, maybe because we have to stand out! I'll be your best friend. 10/27/18 10:09 PM"
15,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.//
I snuck into the program with my cute lynx point brother. I am a sweet girl once I get comfortable where I am. It takes me a couple of days, but once I get situated, I am a little girl full of purrs and color. Foster meowmy is working with me to help me come out of my shell a little quicker.
10/27/18 10:09 PM"
16,Matus is the cat that had ringworm for over two years and was incontinent most of that time. He has turned into the sweetest most loving cat imaginable. He loves dogs and cats and people. 10/27/18 10:09 PM
17,"//
Owner died, Bebe ended up at AAC. Kitty is aggressive, even to past owner. Julia can handle him, but he clearly is a one-owner kitty. 10/27/18 10:09 PM"
18,Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.I am a super sweet boy. I showed up on the doorstep of one of ASR's foster homes. Boy did I pick a great home to show up at. They took me in and loved all over me until I could trust them completely. I just love to sit in your lap and rub my face all over your neck/face. I am very playful and get along with all the other kitties. I am really cute too.....you have to come visit me. 10/27/18 10:09 PM
19,// 10/27/18 10:09 PM
20,"My sister and I are the best of the best. We are flame point lovely, we have good manners, are loving, and highly entertaining. What more could you want! If you want to tell us apart, I'm the 'peachiest' one. 10/27/18 10:09 PM"
21,"Please contact Carolyn (cakalaki@hotmail.com) for more information about this pet.//
She is very playful and excitable when pet. Not quite a lap kitty yet but loves affection and will do circles under your hand. Almost self petting. Ha!She has a tear duct condition from being in a hoarding situation, she had surgery and the vet was able to get one open but not the other, she may have a permanent weepy eye but it doesnt slow her down or make her any less lovely.Please note that we are asking that Aisling and Pangur be adopted together. 10/27/18 10:09 PM"
22,"Please contact Sharon (sharonk@austinsiameserescue.org) for more information about this pet.

I am one cute dilute orange tabby. I love to explore and play, but if you want snuggle time with me, I love that too! I love chasing toys, but will get frustrated and make squeaking noises when I can't catch them! I can't help it... I get SO close!

10/27/18 10:09 PM"
23,Please contact Paula (purrfactor@austin.rr.com) for more information about this pet.**Update**As you can see Mirage has grown into a beautiful young adult calico lynx point girl. She is vey sweet and quiet. She doesnt cause any trouble and every morning when I fill the food bowls she runs over to get pets and rubs. Her and her sister Nasira adore each other as you can see. Nasira is pretty shy but when she is sleeping I walk over to pet her and she eats it up. Both girls have wonderful purrs and would thrive in a home where its just them and they have their own humans to dote on them.Mirage is a very cute lynx point with slight calico markings. Mirage LOVES getting pets and snuggles. She likes to give rub bys and talks to you. She is such a sweet and loving little girl. Loves playing with her siblings and all the toys that are at her foster moms house. 10/27/18 10:09 PM
24,"Please contact Paula (purrfactor@austin.rr.com) for more information about this pet.**Update 2**It has taken a year and 7 months but this girl finally asks for pets and wants them. She still has her shy times but more and more she is asking for and wanting pets and loves, especially when she sees the kitties who were sitting/sleeping next to her getting them. She will Meow and get up and come over and say me too? and it is the most wonderful thing in the world to me!**Update**As you can see Nasira has grown into a stunning lynx point girl with great ear tufts! She is still shy but gets along great with all of the other kitties and the dogs. She is still somewhat shy with humans but when you start petting her while she is sleeping, her motor starts and her paws begin to move as she starts making biscuits. Mirage and Nasira are the best of buds as you can see, we would like to keep them together because Mirage is a wonderful influence on Nasira in showing Nasira pets and loves are good things. They will thrive in a home of their own with humans to dote on them!Nasira is a gorgeous lynx point girl who is learning to trust and has quite a motor once it starts. She is currently enjoying playing with her sisters and having lots of food and toys at the ready. More to come on this girl as she progresses. 10/27/18 10:09 PM"
25,"Please contact Carolyn (cakalaki@hotmail.com) for more information about this pet.Pangur is a large fluffy lynx point boy. He was rescued from a hoarding situation and has settled nicely into indoor home life. He is still not a lap cat but he loves hanging out with his companion Aisling. They enjoy playing, eating and living the good life now. Please note that we are asking that Aisling and Pangur be adopted together. 10/27/18 10:09 PM"
26,"Please contact Rae (rae@luvzhorses.com) for more information about this pet.Hi There,My name is Bria and I was living at the Comanche, TX shelter when they discovered I was pregnant. They scurried and made arrangements for me to get out of the shelter ASAP so I wouldn't have my babies there.The nice ladies at Comanche, especially Laurie and Kimberly worked quickly and got me to ASR and into a foster home on Tuesday and I had my babies on Thursday! Talk about the nick of time!I am the proud healthy mother of three little cuties who will be up for adoption in 8-10 weeks time. I will then need my own forever home and if you would like to have me as a BFF please come to meet me. I'm a very loving girl and a really good Mom and I purr all the time!5/6/16 UPDATE: Bria has come a very long way and is now ready for a forever home. She is a silly, bouncy kitty with a bit of 'tude', but she is friendly and ready for more. She isn't really comfortable with most of the kitties in our home, but plays with Darth as if he was her baby or she was his sister. She has gotten a lot more comfortable with humans as well. She will rub up against my legs and allow me to pet her on the head and chest and one or two strokes down her back and then gets excited and sends 'warning' signals. I think she just gets easily over stimulated, but she can be a bit nippy so she is not a good choice for a family with small children. She would be great as a companion for an adult home with one other kitty as long as she is allowed plenty of time to acclimate and get used to the other kitty. I do believe that if Bria has a home of her own where she has more area to roam (right now she stays basically in one big bedroom) she will come completely out of her fear shell and become a really sweet and loving kitty. Won't you tkae a chance on this girl? She deserves a place of her own after such a rough start.UPDATE: July 2017 - Bria is definately a good candidate for an adult home with one or even two other kitties. She is now integrated into the population and managing nicely. She isn't agressive and will back down from confrontation but sometimes she will defend herself a bit. She still is a sweet girl but still gets a bit over excited at too much petting. She really needs a quiet home where she can ask for and get the attention and love she deserves. She'd make a great companion! 10/27/18 10:09 PM"
27,"Please contact Paula (purrfactor@austin.rr.com) for more information about this pet.Vera has been with ASR since 4/2015. This girl is very sweet and loving. She wants to hang out with her humans but prefers to not hang out with other kitties. She is what we call a Hard Luck kitty as well as Single Kitty in the House. Both of those combined make it harder to find the right home.***Update***Vera loves to hang out with her human. Movie night on the couch, make sure to save her a spot! All of her babies have been adopted and now she is just waiting for her person to find her and realize she is the one they have been waiting for. She would really prefer to be the only one getting all of your attention. She does do fine with the dogs in the foster home and she is accepting of other cats as long as they basically leave her alone. She would do better as the only cat but ok with cat savvy dogs.____________________________Vera is a beautiful dilute Calico young lady. She was a young mom and now her and her babies are ready to find their own homes. She likes to hang out and watch the goings on and will play with her kids every now and then, especially her mini me Vickie. 10/27/18 10:09 PM"
28,"11 years old
26 pounds
Blind

visit www.weerescue.org for more information"
29,"5 years old
8 pounds



www.weerescue.org"
30,"8 years old
12 pounds


www.weerescue.org"
31,"10 years old
15 pounds

www.weerescue.org"
32,"4 years old
19 pounds


www.weerescue.org


Meet & Greet
January 13, 2018
Petco at the Arboretum
10:00 to Noon"
33,"13 years old
12 pounds



www.weerescue.org"
34,"14 years old
13 pounds


www.weerescue.org"
35,"7 years old
17 pounds


www.weerescue.org"
36,"10 years old
25 pounds


www.weerescue.org"
37,"Just look at me now! I am still fighting the itchies, butÂ  my skin is getting better everyday. I still have a few more weeks of special treats to make it all better, but I don't mind. I have my own special chair to stretch out on and other dogs to keep me company. while I wait.Â 

Molly is a sweet 11 y/o Brittany/ lab mix who likes to go for walks and cuddle on the couch. She is great with other dogs and cats and likes her baths. She does take medicine for her allergies.

Molly is currently unavailable for adoption until her health (allergy related) has improved.   

Molly is being fostered in the Austin area.
(updated 10/05/17)
"
38,"Esther came to our rescue with a huge hernia, mammoth tumors and needed to be spayed. She struggled with gaining weight and an infection but now she has healed and is at a healthy weight! 
Esther loves to lay around and cuddle on the sofa. She would love to meet a new companion and have a forever home. She is so cute with her big airplane ears when she looks up and is very sweet. She doesn't bark or whine only grunts and moans.  She just is not a complainer. She is working on her potty training and will go potty outside when taken out. She loves to go for walks and walks good on a leash. Esther is fine with other dogs and cats around as long as she can sit with you too. She does have some seeing issues but finds her way around the house and outside just fine."
